keyword,Type,Values,Description,Mandatory
SUPER_EIGTHRES,Real,any positive number (typically should be greater than 1.0E−7),PEST++ will not include any superparameters whose ratio with the largest superparameter is less than this ratio,
MAX_N_SUPER,Integer,integer between 1 and the minimum either of maximum number of parameters or the maximum number of observations,Maximum number of superparameters to use in the superparameter iterations,
MAX_REG_ITER,Integer,integer greater than 1; default is 20,Provides a limit on the maximum number of iterations used to compute dynamic regularization weights when PEST++ is run in regularization mode,
MAX_SUPER_FRZ_ITER,Integer,1 or greater; default value is 5,Maximum number of times a superparameter iteration will try to freeze any parameters that go out of bounds and try to recompute a Jacobian,
AUTO_NORM,Integer,1 or greater; default is no scaling,Automatically normalizes the sensitivities by assuming there are X standard deviations between the upper and lower parameter bounds,
SVD_PACK,String,“JACOBI” or “PROPACK”; default is “JACOBI”,Flag to use PROPACK to compute SVD factorizations. “JACOBI” is the SVD provided by the EIGEN library; “PROPACK” is the iterative SVD factorization suitable for large problems,
MAT_INV,String,“Q1/2J” or “JTQJ”; default is “JTQJ”,Flag to specify the formulation of the normal equation. This option is forced to “Q1/2J” when PROPACK is used,
SUPER_RELPARMAX,Real,greater than 0; default is 0.1,Parameter relative change limit for superparameters,
* control data,,,,
* singular value decomposition,,,,
* parameter groups,,,,
* parameter data,,,,
* observation groups,,,,
* observation data,,,,
* model command line,,,,
* model input/output,,,,
* prior information,,,,
* regularisation,,,,
* regularization,,,,
